date,close
2025-07-01,1450.20
2025-07-02,1442.80
2025-07-03,1458.60
2025-07-04,1462.10
2025-07-07,1449.40
2025-07-08,1455.70
2025-07-09,1470.30
2025-07-10,1463.50
2025-07-11,1478.20
2025-07-14,1486.60
2025-07-15,1474.90
2025-07-16,1492.30
2025-07-17,1501.40
2025-07-18,1496.80
2025-07-21,1512.60
2025-07-22,1505.10
2025-07-23,1518.90
2025-07-24,1526.40
2025-07-25,1519.70
2025-07-28,1534.20
2025-07-29,1541.80
2025-07-30,1530.50
2025-07-31,1548.60
2025-08-01,1556.90
2025-08-04,1544.30
2025-08-05,1562.70
2025-08-06,1571.20
2025-08-07,1564.80
2025-08-08,1580.40
2025-08-11,1588.10
2025-08-12,1576.50
2025-08-13,1594.20
2025-08-14,1601.80
2025-08-15,1590.60
2025-08-18,1608.90
2025-08-19,1617.40
2025-08-20,1605.80
2025-08-21,1623.30
2025-08-22,1632.70
2025-08-25,1618.20
2025-08-26,1639.50
2025-08-27,1648.80
2025-08-28,1635.40
2025-08-29,1654.60
2025-09-01,1663.20
2025-09-02,1650.70
2025-09-03,1671.90
2025-09-04,1680.50
2025-09-05,1667.80
2025-09-08,1689.40
2025-09-09,1698.10
2025-09-10,1685.60
2025-09-11,1706.30
2025-09-12,1715.80
2025-09-15,1701.40
2025-09-16,1723.50
2025-09-17,1732.20
2025-09-18,1718.70
2025-09-19,1740.60
2025-09-22,1749.90
2025-09-23,1736.50
2025-09-24,1758.10
2025-09-25,1766.40
2025-09-26,1753.80
2025-09-29,1775.30
2025-09-30,1784.60
